 parcel_id,land_use,property_address, property_city, sale_date, sale_price, sold_as_vacant,acreage, neighborhood, land_value,building_value, total_value,finished_area,year_built, bed_rooms,full_bath,half_bath
105 11 0 080.00,SINGLE FAMILY,1802  STEWART PL,NASHVILLE,2013-01-11,191500,No,0.17,3127,32000,134400,168300,1149,1941,2,1,0
118 03 0 130.00,SINGLE FAMILY,2761  ROSEDALE PL,NASHVILLE,2013-01-18,202000,No,0.11,9126,34000,157800,191800,2090.82495,2000,3,2,1
119 01 0 479.00,SINGLE FAMILY,224  PEACHTREE ST,NASHVILLE,2013-01-18,32000,No,0.17,3130,25000,243700,268700,2145.60001,1948,4,2,0
119 05 0 186.00,SINGLE FAMILY,316  LUTIE ST,NASHVILLE,2013-01-23,102000,No,0.34,3130,25000,138100,164800,1969,1910,2,1,0
119 05 0 387.00,SINGLE FAMILY,2626  FOSTER AVE,NASHVILLE,2013-01-04,93736,No,0.17,3130,25000,86100,113300,1037,1945,2,1,0
119 13 0 183.00,SINGLE FAMILY,501  MORTON AVE,NASHVILLE,2013-01-15,44000,No,0.2,3179,16000,68100,84300,1216,1932,2,1,0
119 13 0 183.00,SINGLE FAMILY,501  MORTON AVE,NASHVILLE,2013-01-25,49900,No,0.2,3179,16000,68100,84300,1216,1932,2,1,0
119 15 0 158.00,SINGLE FAMILY,113  NEESE DR,NASHVILLE,2013-01-09,25000,No,0.4,3131,25000,57100,88400,1152,1945,2,1,0
133 07 0 195.00,SINGLE FAMILY,184  WHEELER AVE,NASHVILLE,2013-01-18,90000,No,0.34,3131,25000,80100,105100,1300,1955,2,1,0
133 12 0 153.00,SINGLE FAMILY,238  ELYSIAN FIELDS RD,NASHVILLE,2013-01-11,72000,No,0.23,3926,21500,87900,109400,1175,1968,3,1,1
133 12 0 268.00,SINGLE FAMILY,3801  ECKHART DR,NASHVILLE,2013-01-04,120000,No,0.29,3926,21500,107800,129300,1825,1978,7,2,0
133 14 0 084.00,VACANT RES LAND,4832  CORNING DR,NASHVILLE,2013-01-23,55000,No,0.41,4026,35500,201300,236800,1960,2013,4,2,1
134 13 0 004.00,SINGLE FAMILY,285  PARAGON MILLS RD,NASHVILLE,2013-01-18,115900,No,0.25,3926,21500,81700,103200,1474,1960,2,1,1
134 13 0 077.00,SINGLE FAMILY,259  EISENHOWER DR,NASHVILLE,2013-01-17,120000,No,0.27,3926,21500,92000,116300,1600,1962,4,1,1
146 15 0 123.00,SINGLE FAMILY,5100  OVERTON RD,NASHVILLE,2013-01-04,262500,No,0.35,4026,47000,213600,269000,1436,1955,2,2,0
148 01 0 188.00,DUPLEX,281  COMROE RD,NASHVILLE,2013-01-31,112500,No,0.27,3927,28000,71100,99100,1436,1970,4,2,0
148 10 0 051.00,SINGLE FAMILY,3922  CREEKSIDE DR,NASHVILLE,2013-01-08,134000,No,0.36,3927,21000,83100,104300,1455,1958,3,2,0
148 14 0 004.00,SINGLE FAMILY,4907  PACKARD DR,NASHVILLE,2013-01-18,48000,No,0.44,3927,21000,53400,74400,950,1958,2,1,0
148 14 0 062.00,SINGLE FAMILY,3805  CREEKSIDE DR,NASHVILLE,2013-01-22,127000,No,0.42,3927,21000,107100,128100,1927,1959,4,2,0
148 15 0 231.00,SINGLE FAMILY,225  CLIPPER CT,NASHVILLE,2013-01-08,92900,No,0.19,3928,15000,66600,81600,1293,1980,4,1,1
160 03 0 127.00,SINGLE FAMILY,5316  OVERTON RD,NASHVILLE,2013-01-04,267300,No,0.76,4026,55000,300400,355400,2370,1968,4,2,0
161 02 0 005.00,SINGLE FAMILY,641  MCMURRAY DR,NASHVILLE,2013-01-28,187000,No,0.52,4028,36500,151300,187800,2010,1965,3,2,0
162 06 0 012.00,SINGLE FAMILY,152  TUSCULUM RD,ANTIOCH,2013-01-15,109900,No,0.28,3929,24000,77400,101400,1247,1968,3,1,1
091 13 0 269.00,SINGLE FAMILY,408  EASTBORO DR,NASHVILLE,2013-01-24,131350,No,0.17,3330,32000,89200,121200,1353.60001,1949,4,2,0
091 15 0 102.00,SINGLE FAMILY,5202  PARK AVE,NASHVILLE,2013-01-14,285000,No,0.17,2526,120000,143200,268900,1391,1930,2,2,0
091 16 0 256.00,DUPLEX,4306  DAKOTA AVE,NASHVILLE,2013-01-11,450000,No,0.34,2526,165000,103000,268000,1650,1968,4,2,0
092 09 0 215.00,DUPLEX,410  37TH AVE N,NASHVILLE,2013-01-23,63500,No,0.15,1126,20000,76700,96700,2000,1988,6,4,0
092 13 0 272.00,SINGLE FAMILY,333  CHAMBERLIN ST,NASHVILLE,2013-01-24,130000,No,0.17,1126,65000,63600,130200,1296,1958,2,1,0
103 03 0 023.00,SINGLE FAMILY,5514  BON AIR CIR,NASHVILLE,2013-01-16,194000,No,0.41,3339,45000,112700,157700,1032,1953,3,1,0
